cluster_no,initial_node,end_node,distance,quantity
3273.0,2222.0,3272.0,0.0,104.0
3274.0,2251.0,3273.0,0.0,105.0
3275.0,2255.0,3274.0,0.0,106.0
3276.0,2257.0,3275.0,0.0,107.0
3277.0,2262.0,3276.0,0.0,108.0
3278.0,2265.0,3277.0,0.0,109.0
3279.0,2278.0,3278.0,0.0,110.0
3280.0,2308.0,3279.0,0.0,111.0
3281.0,2311.0,3280.0,0.0,112.0
3282.0,2332.0,3281.0,0.0,113.0
3283.0,2345.0,3282.0,0.0,114.0
3284.0,2354.0,3283.0,0.0,115.0
3285.0,2390.0,3284.0,0.0,116.0
3286.0,2415.0,3285.0,0.0,117.0
3287.0,2416.0,3286.0,0.0,118.0
3288.0,2435.0,3287.0,0.0,119.0
3289.0,2468.0,3288.0,0.0,120.0
3290.0,2511.0,3289.0,0.0,121.0
3291.0,2545.0,3290.0,0.0,122.0
3292.0,2548.0,3291.0,0.0,123.0
3293.0,2550.0,3292.0,0.0,124.0
3294.0,2627.0,3293.0,0.0,125.0
3295.0,2629.0,3294.0,0.0,126.0
3296.0,2640.0,3295.0,0.0,127.0
3297.0,2645.0,3296.0,0.0,128.0
3298.0,2649.0,3297.0,0.0,129.0
3299.0,2664.0,3298.0,0.0,130.0
3300.0,2673.0,3299.0,0.0,131.0
3301.0,2698.0,3300.0,0.0,132.0
3302.0,2705.0,3301.0,0.0,133.0
3303.0,2712.0,3302.0,0.0,134.0
3304.0,2762.0,3303.0,0.0,135.0
3305.0,2772.0,3304.0,0.0,136.0
3306.0,2778.0,3305.0,0.0,137.0
3307.0,2783.0,3306.0,0.0,138.0
3308.0,2788.0,3307.0,0.0,139.0
3309.0,2796.0,3308.0,0.0,140.0
3310.0,2819.0,3309.0,0.0,141.0
3311.0,2838.0,3310.0,0.0,142.0
3312.0,2841.0,3311.0,0.0,143.0
3313.0,2844.0,3312.0,0.0,144.0
3314.0,2857.0,3313.0,0.0,145.0
3315.0,2862.0,3314.0,0.0,146.0
3316.0,2875.0,3315.0,0.0,147.0
3317.0,2876.0,3316.0,0.0,148.0
3318.0,2907.0,3317.0,0.0,149.0
3319.0,2910.0,3318.0,0.0,150.0
3320.0,2913.0,3319.0,0.0,151.0
3321.0,2919.0,3320.0,0.0,152.0
3322.0,2924.0,3321.0,0.0,153.0
3323.0,2929.0,3322.0,0.0,154.0
3324.0,2937.0,3323.0,0.0,155.0
3325.0,2993.0,3324.0,0.0,156.0
3326.0,3011.0,3325.0,0.0,157.0
3327.0,3019.0,3326.0,0.0,158.0
3328.0,3023.0,3327.0,0.0,159.0
3329.0,3024.0,3328.0,0.0,160.0
3330.0,3025.0,3329.0,0.0,161.0
3331.0,3028.0,3330.0,0.0,162.0
3332.0,3029.0,3331.0,0.0,163.0
3333.0,3030.0,3332.0,0.0,164.0
3334.0,3042.0,3333.0,0.0,165.0
3335.0,3043.0,3334.0,0.0,166.0
3336.0,3051.0,3335.0,0.0,167.0
3337.0,3052.0,3336.0,0.0,168.0
3338.0,3066.0,3337.0,0.0,169.0
3339.0,3068.0,3338.0,0.0,170.0
3340.0,3080.0,3339.0,0.0,171.0
3341.0,3081.0,3340.0,0.0,172.0
3342.0,3102.0,3341.0,0.0,173.0
3343.0,3112.0,3342.0,0.0,174.0
3344.0,3121.0,3343.0,0.0,175.0
3345.0,52.0,3135.0,0.0,5.0
3346.0,75.0,3171.0,0.0,3.0
3347.0,1681.0,1917.0,0.0,2.0
3348.0,41.0,1448.0,0.0,2.0
3349.0,966.0,2576.0,0.0,2.0
3350.0,2725.0,3349.0,0.0,3.0
3351.0,84.0,2188.0,0.0,2.0
3352.0,279.0,383.0,0.0,2.0
3353.0,431.0,3352.0,0.0,3.0
3354.0,526.0,3353.0,0.0,4.0
3355.0,630.0,3354.0,0.0,5.0
3356.0,908.0,3355.0,0.0,6.0
3357.0,932.0,3356.0,0.0,7.0
3358.0,1217.0,3357.0,0.0,8.0
3359.0,1361.0,3358.0,0.0,9.0
3360.0,1552.0,3359.0,0.0,10.0
3361.0,1789.0,3360.0,0.0,11.0
3362.0,1845.0,3361.0,0.0,12.0
3363.0,2046.0,3362.0,0.0,13.0
3364.0,2309.0,3363.0,0.0,14.0
3365.0,2326.0,3364.0,0.0,15.0
3366.0,2534.0,3365.0,0.0,16.0
