feature,importance,pt
19,0.009742617,Abdominal pain upper
20,0.031405225,Abdominal pain upper
21,0.021819886,Abdominal pain upper
22,0.09555343,Abdominal pain upper
23,0.0011239959,Abdominal pain upper
24,0.008778733,Abdominal pain upper
25,0.0794051,Abdominal pain upper
0,0.07260613,Abdominal tenderness
1,0.016670674,Abdominal tenderness
2,0.02177445,Abdominal tenderness
3,0.037442427,Abdominal tenderness
4,0.09117089,Abdominal tenderness
5,0.057453703,Abdominal tenderness
6,0.016343305,Abdominal tenderness
7,0.06224825,Abdominal tenderness
8,0.002068954,Abdominal tenderness
9,0.06467005,Abdominal tenderness
10,0.0056251497,Abdominal tenderness
11,0.019712212,Abdominal tenderness
12,0.19293469,Abdominal tenderness
13,0.0069714715,Abdominal tenderness
14,0.010851934,Abdominal tenderness
15,0.02304662,Abdominal tenderness
16,0.09205004,Abdominal tenderness
17,0.012155816,Abdominal tenderness
18,0.033206075,Abdominal tenderness
19,0.041790273,Abdominal tenderness
20,0.026466178,Abdominal tenderness
21,0.014381741,Abdominal tenderness
22,0.03588871,Abdominal tenderness
23,0.008095566,Abdominal tenderness
24,0.006016189,Abdominal tenderness
25,0.028358577,Abdominal tenderness
0,0.075051785,Abdominoplasty
1,0.027821634,Abdominoplasty
2,0.009955274,Abdominoplasty
3,0.00759504,Abdominoplasty
4,0.12597758,Abdominoplasty
5,0.02392008,Abdominoplasty
6,0.006361293,Abdominoplasty
7,0.04034058,Abdominoplasty
8,0.0059382087,Abdominoplasty
9,0.029800022,Abdominoplasty
10,0.0022132054,Abdominoplasty
11,0.009142645,Abdominoplasty
12,0.05086583,Abdominoplasty
13,0.030580143,Abdominoplasty
14,0.0019509243,Abdominoplasty
15,0.06942174,Abdominoplasty
16,0.019503595,Abdominoplasty
17,0.016144484,Abdominoplasty
18,0.011897456,Abdominoplasty
19,0.022180658,Abdominoplasty
20,0.03455007,Abdominoplasty
21,0.08466674,Abdominoplasty
22,0.22273682,Abdominoplasty
23,0.0072313743,Abdominoplasty
24,0.0051787514,Abdominoplasty
25,0.058974013,Abdominoplasty
0,0.012359127,Abnormal behaviour
1,0.022363048,Abnormal behaviour
2,0.039128143,Abnormal behaviour
3,0.0757728,Abnormal behaviour
4,0.058760818,Abnormal behaviour
5,0.059384592,Abnormal behaviour
6,0.012418093,Abnormal behaviour
7,0.010630101,Abnormal behaviour
8,0.015532517,Abnormal behaviour
9,0.062023748,Abnormal behaviour
10,0.01831112,Abnormal behaviour
11,0.030126816,Abnormal behaviour
12,0.13047239,Abnormal behaviour
13,0.081633866,Abnormal behaviour
14,0.0235601,Abnormal behaviour
15,0.035737533,Abnormal behaviour
16,0.060877122,Abnormal behaviour
17,0.035898987,Abnormal behaviour
18,0.019614846,Abnormal behaviour
19,0.00857352,Abnormal behaviour
20,0.015943829,Abnormal behaviour
21,0.018020485,Abnormal behaviour
22,0.079641566,Abnormal behaviour
23,0.02800338,Abnormal behaviour
24,0.033378877,Abnormal behaviour
25,0.011832643,Abnormal behaviour
0,0.007312772,Abnormal dreams
1,0.014621642,Abnormal dreams
2,0.058201004,Abnormal dreams
3,0.16196504,Abnormal dreams
4,0.0191364,Abnormal dreams
5,0.033702,Abnormal dreams
6,0.0044315467,Abnormal dreams
7,0.0153785795,Abnormal dreams
8,0.005195383,Abnormal dreams
9,0.04513836,Abnormal dreams
10,0.0027316804,Abnormal dreams
11,0.028004495,Abnormal dreams
12,0.12549797,Abnormal dreams
13,0.048372876,Abnormal dreams
14,0.13335128,Abnormal dreams
15,0.04954105,Abnormal dreams
16,0.06675572,Abnormal dreams
17,0.032325692,Abnormal dreams
18,0.024230529,Abnormal dreams
19,0.010789873,Abnormal dreams
20,0.0082686925,Abnormal dreams
21,0.04143803,Abnormal dreams
22,0.04819859,Abnormal dreams
23,0.0017585325,Abnormal dreams
24,0.01045698,Abnormal dreams
25,0.0031952418,Abnormal dreams
0,0.012712339,Abnormal faeces
1,0.010051586,Abnormal faeces
2,0.104397185,Abnormal faeces
3,0.047492262,Abnormal faeces
4,0.066528045,Abnormal faeces
5,0.06833171,Abnormal faeces
6,0.001972131,Abnormal faeces
7,0.032133374,Abnormal faeces
8,0.03999732,Abnormal faeces
9,0.008127746,Abnormal faeces
10,0.029907502,Abnormal faeces
11,0.012834568,Abnormal faeces
12,0.093566544,Abnormal faeces
13,0.06351063,Abnormal faeces
14,0.0043105274,Abnormal faeces
15,0.012875595,Abnormal faeces
16,0.07158373,Abnormal faeces
17,0.07747189,Abnormal faeces
18,0.025898445,Abnormal faeces
19,0.010539424,Abnormal faeces
20,0.03019796,Abnormal faeces
21,0.016339656,Abnormal faeces
22,0.08660004,Abnormal faeces
23,0.037037168,Abnormal faeces
24,0.014930769,Abnormal faeces
25,0.020651892,Abnormal faeces
0,0.06909551,Abnormal loss of weight
1,0.08542703,Abnormal loss of weight
2,0.194539,Abnormal loss of weight
3,0.035024907,Abnormal loss of weight
4,0.060121085,Abnormal loss of weight
5,0.017418588,Abnormal loss of weight
6,0.009346466,Abnormal loss of weight
7,0.011581949,Abnormal loss of weight
8,0.0059127114,Abnormal loss of weight
9,0.051443655,Abnormal loss of weight
10,0.036300797,Abnormal loss of weight
11,0.007980925,Abnormal loss of weight
12,0.16010825,Abnormal loss of weight
13,0.0016054865,Abnormal loss of weight
14,0.012578583,Abnormal loss of weight
15,0.015610654,Abnormal loss of weight
16,0.101922214,Abnormal loss of weight
17,0.0045075906,Abnormal loss of weight
18,0.012880623,Abnormal loss of weight
19,0.008081666,Abnormal loss of weight
20,0.04610436,Abnormal loss of weight
21,0.011715184,Abnormal loss of weight
22,0.016387977,Abnormal loss of weight
23,0.004118457,Abnormal loss of weight
24,0.005357747,Abnormal loss of weight
25,0.01482856,Abnormal loss of weight
0,0.02723298,Abnormal sleep-related event
1,0.036796134,Abnormal sleep-related event
2,0.030728837,Abnormal sleep-related event
3,0.060998783,Abnormal sleep-related event
4,0.15243307,Abnormal sleep-related event
5,0.016391892,Abnormal sleep-related event
6,0.0025305317,Abnormal sleep-related event
7,0.034360833,Abnormal sleep-related event
8,0.011568407,Abnormal sleep-related event
9,0.018634263,Abnormal sleep-related event
10,0.008425416,Abnormal sleep-related event
11,0.033411384,Abnormal sleep-related event
12,0.11342162,Abnormal sleep-related event
13,0.012143106,Abnormal sleep-related event
14,0.017702041,Abnormal sleep-related event
15,0.06523647,Abnormal sleep-related event
16,0.072444074,Abnormal sleep-related event
17,0.011642489,Abnormal sleep-related event
18,0.003514078,Abnormal sleep-related event
19,0.01223208,Abnormal sleep-related event
20,0.06328074,Abnormal sleep-related event
21,0.037710898,Abnormal sleep-related event
22,0.11944061,Abnormal sleep-related event
23,0.010990347,Abnormal sleep-related event
24,0.00929436,Abnormal sleep-related event
25,0.017434483,Abnormal sleep-related event
0,0.035151355,Abortion induced
1,0.10735979,Abortion induced
2,0.008789038,Abortion induced
3,0.07228484,Abortion induced
4,0.022549855,Abortion induced
5,0.085058756,Abortion induced
6,0.11124922,Abortion induced
7,0.010813133,Abortion induced
8,0.0015497316,Abortion induced
9,0.03423795,Abortion induced
10,0.0012882797,Abortion induced
11,0.035475433,Abortion induced
12,0.111218765,Abortion induced
13,0.02804403,Abortion induced
14,0.009950937,Abortion induced
15,0.018008027,Abortion induced
16,0.025229976,Abortion induced
17,0.012872925,Abortion induced
18,0.002512285,Abortion induced
19,0.024897486,Abortion induced
20,0.015431346,Abortion induced
21,0.015076887,Abortion induced
22,0.04841842,Abortion induced
23,0.017838739,Abortion induced
24,0.13904242,Abortion induced
25,0.0056503494,Abortion induced
0,0.06815449,Abortion missed
1,0.06094882,Abortion missed
2,0.0062980033,Abortion missed
3,0.067200996,Abortion missed
4,0.007803455,Abortion missed
5,0.0180868,Abortion missed
6,0.018084537,Abortion missed
7,0.15368822,Abortion missed
8,0.028491506,Abortion missed
9,0.10136365,Abortion missed
10,0.0024235295,Abortion missed
11,0.0034809385,Abortion missed
12,0.21471652,Abortion missed
13,0.04425703,Abortion missed
14,0.0013795951,Abortion missed
15,0.0019185751,Abortion missed
16,0.07473751,Abortion missed
17,0.0022937825,Abortion missed
18,0.009446218,Abortion missed
19,0.0015952723,Abortion missed
20,0.019849528,Abortion missed
21,0.0017003686,Abortion missed
22,0.006197821,Abortion missed
23,0.00842002,Abortion missed
24,0.0639707,Abortion missed
25,0.013492043,Abortion missed
0,0.045119453,Abortion spontaneous
1,0.0037432907,Abortion spontaneous
2,0.017951883,Abortion spontaneous
3,0.10681262,Abortion spontaneous
4,0.053028915,Abortion spontaneous
5,0.042440027,Abortion spontaneous
6,0.010480874,Abortion spontaneous
7,0.02963535,Abortion spontaneous
8,0.028865896,Abortion spontaneous
9,0.0,Abortion spontaneous
10,0.0057085524,Abortion spontaneous
11,0.019694505,Abortion spontaneous
12,0.12895444,Abortion spontaneous
13,0.015662273,Abortion spontaneous
14,0.005315194,Abortion spontaneous
15,0.042540677,Abortion spontaneous
16,0.014014324,Abortion spontaneous
17,0.06305182,Abortion spontaneous
18,0.003064723,Abortion spontaneous
19,0.017494556,Abortion spontaneous
20,0.0817098,Abortion spontaneous
21,0.034037095,Abortion spontaneous
22,0.059721097,Abortion spontaneous
23,0.014153607,Abortion spontaneous
24,0.1356218,Abortion spontaneous
25,0.021177234,Abortion spontaneous
0,0.0040401286,Abscess
1,0.01706825,Abscess
2,0.06913748,Abscess
3,0.04623475,Abscess
4,0.09071306,Abscess
5,0.03991586,Abscess
6,0.007981904,Abscess
7,0.048173968,Abscess
8,0.014651469,Abscess
9,0.020297578,Abscess
10,0.022802241,Abscess
11,0.033526115,Abscess
12,0.11690494,Abscess
13,0.10092372,Abscess
14,0.0057481383,Abscess
15,0.038508255,Abscess
16,0.039082177,Abscess
17,0.023083081,Abscess
18,0.011313801,Abscess
19,0.0104301525,Abscess
20,0.06585096,Abscess
21,0.062444057,Abscess
22,0.05914094,Abscess
23,0.017249322,Abscess
24,0.01078279,Abscess
25,0.023994906,Abscess
0,0.0050716493,Abscess intestinal
1,0.061290238,Abscess intestinal
2,0.011130175,Abscess intestinal
3,0.04578778,Abscess intestinal
4,0.061133973,Abscess intestinal
5,0.04813888,Abscess intestinal
6,0.006222856,Abscess intestinal
7,0.026052548,Abscess intestinal
8,0.038652666,Abscess intestinal
9,0.011848263,Abscess intestinal
10,0.0360147,Abscess intestinal
11,0.020249793,Abscess intestinal
12,0.075094,Abscess intestinal
13,0.07355018,Abscess intestinal
14,0.022445371,Abscess intestinal
15,0.026109405,Abscess intestinal
16,0.0018309414,Abscess intestinal
17,0.025269246,Abscess intestinal
18,0.03481579,Abscess intestinal
19,0.013535698,Abscess intestinal
20,0.07700769,Abscess intestinal
21,0.026995266,Abscess intestinal
22,0.12359319,Abscess intestinal
23,0.08144649,Abscess intestinal
24,0.029512627,Abscess intestinal
25,0.017200535,Abscess intestinal
0,0.06117224,Abscess jaw
1,0.01111735,Abscess jaw
2,0.07157437,Abscess jaw
3,0.04805431,Abscess jaw
4,0.06932087,Abscess jaw
5,0.027820144,Abscess jaw
6,0.007150398,Abscess jaw
7,0.03635814,Abscess jaw
8,0.051724583,Abscess jaw
9,0.0371996,Abscess jaw
10,0.047459252,Abscess jaw
11,0.016501369,Abscess jaw
12,0.05522758,Abscess jaw
13,0.042374402,Abscess jaw
14,0.029688496,Abscess jaw
15,0.056672517,Abscess jaw
16,0.024265189,Abscess jaw
17,0.009249139,Abscess jaw
18,0.015137846,Abscess jaw
19,0.025564086,Abscess jaw
20,0.01128749,Abscess jaw
21,0.069522396,Abscess jaw
22,0.12966867,Abscess jaw
23,0.01076042,Abscess jaw
24,0.008041269,Abscess jaw
25,0.027087912,Abscess jaw
0,0.018774832,Abscess limb
1,0.021035656,Abscess limb
2,0.006561572,Abscess limb
3,0.02747861,Abscess limb
4,0.11896084,Abscess limb
5,0.090125084,Abscess limb
6,0.01656498,Abscess limb
7,0.016921217,Abscess limb
8,0.017344402,Abscess limb
9,0.021473916,Abscess limb
10,0.014057349,Abscess limb
11,0.015361366,Abscess limb
12,0.095760524,Abscess limb
13,0.06575591,Abscess limb
14,0.01052012,Abscess limb
15,0.036470015,Abscess limb
16,0.011922729,Abscess limb
17,0.04089368,Abscess limb
18,0.015407528,Abscess limb
19,0.0065513607,Abscess limb
20,0.06614819,Abscess limb
21,0.014287722,Abscess limb
22,0.073708005,Abscess limb
23,0.06129759,Abscess limb
24,0.08799036,Abscess limb
25,0.028626414,Abscess limb
0,0.013602051,Abulia
1,0.058197577,Abulia
2,0.0070561557,Abulia
3,0.13292745,Abulia
4,0.0028016255,Abulia
5,0.016104076,Abulia
6,0.10516788,Abulia
7,0.010746692,Abulia
8,0.021024207,Abulia
9,0.01601507,Abulia
10,0.023870759,Abulia
11,0.026098033,Abulia
12,0.15856576,Abulia
13,0.081693105,Abulia
14,0.005394645,Abulia
15,0.018963596,Abulia
16,0.063357785,Abulia
17,0.053763147,Abulia
