feature,importance,pt
16,0.12861437,Abscess bacterial
17,0.052034512,Abscess bacterial
18,0.013563718,Abscess bacterial
19,0.0,Abscess bacterial
20,0.0904516,Abscess bacterial
21,0.0,Abscess bacterial
22,0.040810287,Abscess bacterial
23,0.014328272,Abscess bacterial
24,0.010974956,Abscess bacterial
25,0.0,Abscess bacterial
0,0.023594983,Accidental overdose
1,0.024128273,Accidental overdose
2,0.03926663,Accidental overdose
3,0.024284344,Accidental overdose
4,0.09514148,Accidental overdose
5,0.054176737,Accidental overdose
6,0.0,Accidental overdose
7,0.034130994,Accidental overdose
8,0.02641682,Accidental overdose
9,0.039738137,Accidental overdose
10,0.0,Accidental overdose
11,0.020063298,Accidental overdose
12,0.033461448,Accidental overdose
13,0.019606227,Accidental overdose
14,0.038288914,Accidental overdose
15,0.029595014,Accidental overdose
16,0.0555124,Accidental overdose
17,0.05302504,Accidental overdose
18,0.017609786,Accidental overdose
19,0.028322382,Accidental overdose
20,0.040588886,Accidental overdose
21,0.03134328,Accidental overdose
22,0.10297831,Accidental overdose
23,0.034385018,Accidental overdose
24,0.11439115,Accidental overdose
25,0.019950528,Accidental overdose
0,0.06447526,Acetonaemia
1,0.0,Acetonaemia
2,0.037090816,Acetonaemia
3,0.100061856,Acetonaemia
4,0.045713495,Acetonaemia
5,0.0,Acetonaemia
6,0.032979496,Acetonaemia
7,0.0,Acetonaemia
8,0.046955787,Acetonaemia
9,0.014358274,Acetonaemia
10,0.0,Acetonaemia
11,0.0,Acetonaemia
12,0.13567932,Acetonaemia
13,0.037229143,Acetonaemia
14,0.024385871,Acetonaemia
15,0.0,Acetonaemia
16,0.13044168,Acetonaemia
17,0.013243284,Acetonaemia
18,0.023874827,Acetonaemia
19,0.03975487,Acetonaemia
20,0.1583616,Acetonaemia
21,0.04278801,Acetonaemia
22,0.0,Acetonaemia
23,0.0,Acetonaemia
24,0.011849008,Acetonaemia
25,0.040757418,Acetonaemia
0,0.060240883,Abscess drainage
1,0.04496945,Abscess drainage
2,0.029195786,Abscess drainage
3,0.020286292,Abscess drainage
4,0.07496758,Abscess drainage
5,0.05252548,Abscess drainage
6,0.0,Abscess drainage
7,0.0676032,Abscess drainage
8,0.02674704,Abscess drainage
9,0.04835806,Abscess drainage
10,0.0,Abscess drainage
11,0.026015243,Abscess drainage
12,0.03738264,Abscess drainage
13,0.02021088,Abscess drainage
14,0.0,Abscess drainage
15,0.02346728,Abscess drainage
16,0.027886668,Abscess drainage
17,0.036244817,Abscess drainage
18,0.0,Abscess drainage
19,0.033019014,Abscess drainage
20,0.045657296,Abscess drainage
21,0.07257763,Abscess drainage
22,0.18953168,Abscess drainage
23,0.03851652,Abscess drainage
24,0.0,Abscess drainage
25,0.024596596,Abscess drainage
0,0.13727275,Accelerated idioventricular rhythm
1,0.019178083,Accelerated idioventricular rhythm
2,0.0,Accelerated idioventricular rhythm
3,0.13733193,Accelerated idioventricular rhythm
4,0.15587176,Accelerated idioventricular rhythm
5,0.014048243,Accelerated idioventricular rhythm
6,0.016928557,Accelerated idioventricular rhythm
7,0.10625657,Accelerated idioventricular rhythm
8,0.01722946,Accelerated idioventricular rhythm
9,0.0,Accelerated idioventricular rhythm
10,0.02975415,Accelerated idioventricular rhythm
11,0.014414045,Accelerated idioventricular rhythm
12,0.015379031,Accelerated idioventricular rhythm
13,0.0,Accelerated idioventricular rhythm
14,0.0,Accelerated idioventricular rhythm
15,0.08443209,Accelerated idioventricular rhythm
16,0.010178228,Accelerated idioventricular rhythm
17,0.0,Accelerated idioventricular rhythm
18,0.0,Accelerated idioventricular rhythm
19,0.042961363,Accelerated idioventricular rhythm
20,0.0,Accelerated idioventricular rhythm
21,0.089958206,Accelerated idioventricular rhythm
22,0.06985788,Accelerated idioventricular rhythm
23,0.038947698,Accelerated idioventricular rhythm
24,0.0,Accelerated idioventricular rhythm
25,0.0,Accelerated idioventricular rhythm
0,0.022890864,Accelerated hypertension
1,0.02947143,Accelerated hypertension
2,0.027405744,Accelerated hypertension
3,0.0,Accelerated hypertension
4,0.033145286,Accelerated hypertension
5,0.056645956,Accelerated hypertension
6,0.017831063,Accelerated hypertension
