feature,importance,pt
6,0.01784144416599024,Abdominal hernia obstructive
7,0.0,Abdominal hernia obstructive
8,0.0,Abdominal hernia obstructive
9,0.009961935078459015,Abdominal hernia obstructive
10,0.0,Abdominal hernia obstructive
11,0.12395696191527958,Abdominal hernia obstructive
12,0.0414748060699339,Abdominal hernia obstructive
13,0.0,Abdominal hernia obstructive
14,0.055054040373326896,Abdominal hernia obstructive
15,0.017439003267214676,Abdominal hernia obstructive
16,0.08791201962150329,Abdominal hernia obstructive
17,0.0,Abdominal hernia obstructive
18,0.03361798039765196,Abdominal hernia obstructive
19,0.06893432606753293,Abdominal hernia obstructive
20,0.14986916278456067,Abdominal hernia obstructive
21,0.0,Abdominal hernia obstructive
22,0.0,Abdominal hernia obstructive
23,0.03439676793163211,Abdominal hernia obstructive
24,0.0,Abdominal hernia obstructive
25,0.06560323206836788,Abdominal hernia obstructive
0,0.07897026098615009,Abdominal infection
1,0.021781162162140277,Abdominal infection
2,0.006831451692503945,Abdominal infection
3,0.018065938892351453,Abdominal infection
4,0.0,Abdominal infection
5,0.04934137230442117,Abdominal infection
6,0.06864420631178975,Abdominal infection
7,0.03223318975743624,Abdominal infection
8,0.0,Abdominal infection
9,0.016542636485582053,Abdominal infection
10,0.012819859551295016,Abdominal infection
11,0.061446442902276986,Abdominal infection
12,0.07433307865589403,Abdominal infection
13,0.060152472291891544,Abdominal infection
14,0.0,Abdominal infection
15,4.5969572854303334e-05,Abdominal infection
16,0.049124044577559575,Abdominal infection
17,0.09390059079232639,Abdominal infection
18,0.0050311098863382465,Abdominal infection
19,0.14091000041992613,Abdominal infection
20,0.10944893616048512,Abdominal infection
21,0.019515748554232402,Abdominal infection
22,0.032298199135441893,Abdominal infection
23,0.04856332890710337,Abdominal infection
24,0.0,Abdominal infection
25,0.0,Abdominal infection
0,0.020679127458474028,Abdominal injury
1,0.1388452749787214,Abdominal injury
2,0.028254898423821583,Abdominal injury
3,0.03168187831238006,Abdominal injury
4,0.03008018104838491,Abdominal injury
5,0.07005039063542283,Abdominal injury
6,0.0,Abdominal injury
7,0.001728747438622189,Abdominal injury
8,0.0,Abdominal injury
9,0.0018265741091648786,Abdominal injury
10,0.0,Abdominal injury
11,0.0,Abdominal injury
12,0.14391018079024806,Abdominal injury
13,0.0,Abdominal injury
14,0.036255022926880404,Abdominal injury
15,0.06989463171795506,Abdominal injury
16,0.0371872764951915,Abdominal injury
17,0.0,Abdominal injury
18,0.08603396573512873,Abdominal injury
19,0.0,Abdominal injury
20,0.040286009186822506,Abdominal injury
21,0.047559485077807016,Abdominal injury
22,0.19454801190452573,Abdominal injury
23,0.0,Abdominal injury
24,0.021178343760449296,Abdominal injury
25,0.0,Abdominal injury
0,0.051253940088427916,Abdominal lymphadenopathy
1,0.058199867781284,Abdominal lymphadenopathy
2,0.0614640549691301,Abdominal lymphadenopathy
3,0.0453477369827,Abdominal lymphadenopathy
4,0.001856502166796891,Abdominal lymphadenopathy
5,0.10057959544223485,Abdominal lymphadenopathy
6,0.0,Abdominal lymphadenopathy
7,0.0,Abdominal lymphadenopathy
8,0.0,Abdominal lymphadenopathy
9,0.03204502733735525,Abdominal lymphadenopathy
10,0.0,Abdominal lymphadenopathy
11,0.024355868639169522,Abdominal lymphadenopathy
12,0.005079684681670296,Abdominal lymphadenopathy
13,0.0,Abdominal lymphadenopathy
14,0.04054835454503666,Abdominal lymphadenopathy
15,0.023537172121986603,Abdominal lymphadenopathy
16,0.0571985175450865,Abdominal lymphadenopathy
17,0.044645070539586176,Abdominal lymphadenopathy
18,0.060914779895586225,Abdominal lymphadenopathy
19,0.10168554546747313,Abdominal lymphadenopathy
20,0.00011540252781877739,Abdominal lymphadenopathy
21,0.13785484473924323,Abdominal lymphadenopathy
22,0.0015101656470619099,Abdominal lymphadenopathy
23,0.004477354224856722,Abdominal lymphadenopathy
24,0.0,Abdominal lymphadenopathy
25,0.1473305146574952,Abdominal lymphadenopathy
0,0.042281846433714604,Abdominal mass
1,0.030812221460632824,Abdominal mass
2,0.00949535357795584,Abdominal mass
3,0.037206711834600455,Abdominal mass
4,0.03011907715367307,Abdominal mass
5,0.09343661226941259,Abdominal mass
6,0.06757496853080308,Abdominal mass
7,0.018136018975197885,Abdominal mass
8,0.0,Abdominal mass
9,0.0019451984321186412,Abdominal mass
10,0.027117500754085564,Abdominal mass
11,0.0,Abdominal mass
12,0.19000971640706305,Abdominal mass
13,0.01942933044763074,Abdominal mass
14,0.04669336130898958,Abdominal mass
15,0.008850119363423163,Abdominal mass
16,0.0,Abdominal mass
17,0.01451953954827998,Abdominal mass
18,0.0,Abdominal mass
19,0.02435767473290486,Abdominal mass
20,0.042008482039027496,Abdominal mass
21,0.006594805884782098,Abdominal mass
22,0.16422003570573163,Abdominal mass
23,0.054504080592742664,Abdominal mass
24,0.013783454475357292,Abdominal mass
25,0.05690389007187273,Abdominal mass
0,0.07224166328586454,Abdominal neoplasm
1,0.045120616094924126,Abdominal neoplasm
2,0.02383512597496068,Abdominal neoplasm
3,0.02099842254667313,Abdominal neoplasm
4,0.13616530596424775,Abdominal neoplasm
5,0.0,Abdominal neoplasm
6,0.026110924578779986,Abdominal neoplasm
7,0.022407554147758267,Abdominal neoplasm
8,0.0,Abdominal neoplasm
9,0.0,Abdominal neoplasm
10,0.0,Abdominal neoplasm
11,0.0,Abdominal neoplasm
12,0.03454373288903311,Abdominal neoplasm
13,0.0,Abdominal neoplasm
14,0.009711877876017579,Abdominal neoplasm
15,0.05068529551427894,Abdominal neoplasm
16,0.0672237708765528,Abdominal neoplasm
17,0.01785120075175793,Abdominal neoplasm
18,0.0,Abdominal neoplasm
19,0.0,Abdominal neoplasm
20,0.05748292030013027,Abdominal neoplasm
21,0.08987834311069685,Abdominal neoplasm
22,0.23574292377280023,Abdominal neoplasm
23,0.0,Abdominal neoplasm
24,0.0,Abdominal neoplasm
25,0.09000032231552374,Abdominal neoplasm
0,0.10683086520791046,Abdominal operation
1,0.0,Abdominal operation
2,4.0698414451878966e-17,Abdominal operation
3,0.007279785756001306,Abdominal operation
4,0.07687419913366612,Abdominal operation
5,0.049428391448240454,Abdominal operation
6,0.019822070676433764,Abdominal operation
7,0.0753274203847923,Abdominal operation
